"TOA5","CR1000-Admin Met","CR1000","52119","CR1000.Std.25","CPU:WXT520-30,60.Rain-1-10-16.CR1","19841","Admin"
"TIMESTAMP","RECORD","Ws_Mean","Wd_MeanUnitVector","Wd_StdDev","AirTemp_Avg","RelHumidity","AirPressure","Ramount_Tot","Hamount_Tot"
"TS","RN","mph","Deg","Deg","Celsius","%","hPa","in","hits/cm2"
"","","WVc","WVc","WVc","Avg","Smp","Smp","Tot","Tot"
"2016-01-13 13:00:00",68,20.34,258.2,9.58,50.73,23.2,642.2,0,0
"2016-01-13 14:00:00",69,23.85,261.3,8.12,49.56,27.1,641.8,0,0
"2016-01-13 15:00:00",70,23.85,259,6.942,51.36,31.6,641.7,0,0
"2016-01-13 16:00:00",71,24.52,261.8,6.531,50.45,38.5,641.8,0,0
"2016-01-13 17:00:00",72,22.62,264.4,5.32,48.55,42.5,641.9,0,0
"2016-01-13 18:00:00",73,18.54,268.2,4.816,46.03,47.4,641.7,0,0
"2016-01-13 19:00:00",74,18.7,276.2,5.767,44.34,50.7,641.6,0,0
"2016-01-13 20:00:00",75,17.21,276,5.902,43.58,54,641.6,0,0
"2016-01-13 21:00:00",76,15.31,278.1,7.515,43.43,56,641.4,0,0
"2016-01-13 22:00:00",77,15.69,277,6.626,43.26,58.8,641.4,0,0
"2016-01-13 23:00:00",78,15.42,273.9,7.57,42.87,62.6,641.5,0,0
"2016-01-14 00:00:00",79,15,277.1,7.288,41.69,68,641.5,0,0
"2016-01-14 01:00:00",80,8.42,281.7,10.26,40.79,66.7,641.5,0,0
"2016-01-14 02:00:00",81,10.22,274,6.472,40.09,64.5,641.6,0,0
"2016-01-14 03:00:00",82,5.765,295.2,11.45,38.99,67.7,641.3,0,0
"2016-01-14 04:00:00",83,7.189,329.7,13.04,38.82,66.8,641.1,0,0
"2016-01-14 05:00:00",84,7.866,327.2,9.56,38.23,69.5,641.4,0,0
"2016-01-14 06:00:00",85,4.492,310.8,29.31,35.62,75.4,641.8,0,0
"2016-01-14 07:00:00",86,3.151,316.2,25.78,34,78.6,642.1,0,0
"2016-01-14 08:00:00",87,2.692,325.3,34.25,36.29,68.2,642.2,0,0
"2016-01-14 09:00:00",88,3.023,112.6,14.01,41.13,55.8,642.5,0,0
"2016-01-14 10:00:00",89,3.192,88.5,54.61,44.89,44.4,643.1,0,0
"2016-01-14 11:00:00",90,5.039,69.06,22.35,45.17,45.8,642.6,0,0
"2016-01-14 12:00:00",91,4.153,54.59,21.25,44.54,46.9,642,0,0
"2016-01-14 13:00:00",92,4.033,47.44,25.93,45.59,41.2,641.4,0,0
"2016-01-14 14:00:00",93,3.547,34.71,34.62,46.98,44.2,641.3,0,0
"2016-01-14 15:00:00",94,3.935,95.7,29.96,46.55,43.8,641.3,0,0
"2016-01-14 16:00:00",95,5.713,118.9,19.48,46.17,48.4,641.1,0,0
"2016-01-14 17:00:00",96,2.894,95.2,31.32,43.59,53.3,641,0,0
"2016-01-14 18:00:00",97,6.877,272.2,7.144,43.51,54.9,641.1,0,0
"2016-01-14 19:00:00",98,5.823,289,9.66,42.87,59,641,0,0
"2016-01-14 20:00:00",99,7.087,299.1,10.69,43.34,39,640.4,0,0
"2016-01-14 21:00:00",100,12.97,276,9.59,44.3,39.4,640.2,0,0
"2016-01-14 22:00:00",101,20.59,258.3,6.441,45.48,39.5,640.1,0,0
"2016-01-14 23:00:00",102,21.37,259.6,7.267,44.62,39.1,639.7,0,0
"2016-01-15 00:00:00",103,20.22,261.6,8.78,43.59,40.2,638.9,0,0
